type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,393068,24:0b:2a:96:72:01,-50,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-147548591,0,83,0,128,1,"[83,-80,4,0,-25,12,-28,13,-30,13,-30,12,-29,11,-28,9,-25,8,-22,8,-18,7,-15,8,-11,9,-8,10,-5,12,-3,14,-1,16,0,18,0,19,0,20,0,20,-1,19,-1,18,-2,16,-2,15,-1,13,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,5,-17,6,-17,8,-16,10,-15,10,-13,9,-11,7,-9,4,-7,0,-6,-4,-6,-8,-8,-12,-10,-16,-13,-18,-17,-19,-20,-19,-23,-19,-25,-17,-26,-16,-26,-14,-24,-12,-21,-11,-17,-11,-13,-11,-8,-13,-2,-14,2]"
CSI_DATA,393069,24:0b:2a:96:72:01,-50,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-147541111,0,83,0,128,1,"[83,-80,4,0,3,-28,4,-31,5,-32,7,-32,7,-31,8,-29,7,-27,6,-24,5,-21,2,-19,-1,-16,-4,-14,-7,-13,-10,-13,-12,-13,-14,-13,-15,-14,-16,-14,-15,-15,-15,-15,-14,-14,-12,-13,-11,-12,-10,-11,-10,-11,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,10,13,12,11,13,10,14,8,14,6,13,5,11,5,8,5,4,7,0,10,-4,13,-6,18,-8,22,-8,25,-8,28,-7,30,-6,30,-4,29,-2,27,-1,24,-1,21,-2,17,-3,13,-6,9,-10,7,-14]"
CSI_DATA,393070,24:0b:2a:96:72:01,-49,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-147533252,0,83,0,128,1,"[83,-80,4,0,-16,29,-18,32,-20,33,-21,33,-21,31,-21,28,-19,26,-17,24,-13,21,-10,18,-5,17,0,16,4,15,7,16,10,17,12,18,13,19,13,20,13,20,12,20,11,19,10,17,9,15,8,14,8,13,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-5,-8,-20,-7,-22,-4,-23,-2,-22,0,-21,1,-19,0,-15,-1,-11,-4,-8,-8,-4,-13,-2,-19,-1,-24,-2,-29,-3,-33,-5,-35,-8,-37,-11,-36,-13,-34,-14,-31,-14,-27,-13,-24,-10,-20,-5,-17,0,-15,6,-14,12]"
CSI_DATA,393071,24:0b:2a:96:72:01,-50,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-147526353,0,83,0,128,1,"[83,-80,4,0,-16,24,-17,26,-19,26,-20,25,-20,24,-19,22,-17,20,-15,18,-12,15,-8,14,-5,13,-1,13,2,13,5,14,7,15,9,16,10,17,9,18,9,18,8,17,7,16,6,15,5,13,5,12,5,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,-7,-17,-6,-18,-3,-18,-2,-18,0,-17,0,-15,0,-12,-2,-9,-4,-6,-8,-3,-12,-2,-16,-1,-21,-2,-24,-4,-27,-6,-29,-8,-30,-10,-29,-12,-27,-13,-24,-12,-22,-11,-19,-8,-16,-4,-13,0,-12,6,-12,10]"
CSI_DATA,393114,24:0b:2a:96:72:01,-51,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-147099600,0,83,0,128,1,"[83,-80,4,0,0,-25,-1,-27,0,-30,0,-31,1,-31,2,-30,2,-28,2,-26,2,-24,1,-22,-1,-20,-3,-18,-5,-17,-7,-16,-9,-16,-10,-16,-11,-16,-11,-16,-11,-16,-11,-16,-10,-15,-9,-14,-9,-14,-8,-13,-8,-13,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2,16,-6,18,-4,19,-2,20,0,20,2,18,4,16,4,14,4,11,2,9,-1,8,-5,9,-9,10,-13,12,-16,15,-19,18,-20,22,-21,24,-21,25,-19,25,-17,24,-15,22,-14,20,-13,16,-13,12,-14,9,-16]"
CSI_DATA,393115,24:0b:2a:96:72:01,-50,11,1,5,0,1,1,0,1,0,0,-96,0,6,0,-147092069,0,83,0,128,1,"[83,-80,4,0,26,3,29,2,31,3,32,4,32,5,30,5,28,6,26,5,24,4,21,3,19,1,18,-2,17,-4,17,-6,17,-8,17,-9,17,-9,17,-9,18,-9,17,-9,17,-8,16,-7,14,-7,13,-7,13,-7,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,17,2,19,0,20,-3,21,-5,20,-6,19,-6,16,-6,14,-4,12,0,10,4,9,8,10,12,12,16,15,18,18,19,21,19,25,18,27,17,28,15,28,13,27,12,25,11,22,11,18,13,14,15,10]"
CSI_DATA,393116,24:0b:2a:96:72:01,-51,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-147084699,0,83,0,128,1,"[83,-80,4,0,-27,0,-29,0,-30,0,-31,-1,-30,-2,-29,-2,-27,-3,-25,-2,-22,-2,-20,0,-18,2,-17,4,-16,6,-16,8,-16,9,-16,10,-16,11,-17,10,-16,10,-16,9,-15,8,-14,7,-13,7,-12,7,-12,7,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,-7,-16,-6,-18,-4,-20,-2,-20,0,-20,1,-19,2,-16,1,-14,-1,-11,-4,-10,-7,-9,-11,-9,-15,-10,-18,-13,-20,-15,-22,-18,-22,-21,-21,-23,-20,-25,-18,-24,-16,-23,-15,-20,-14,-17,-14,-14,-15,-10,-17,-7]"
CSI_DATA,393117,24:0b:2a:96:72:01,-51,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-147077393,0,83,0,128,1,"[83,-80,4,0,9,27,11,29,11,31,10,33,9,33,8,31,7,30,6,27,6,24,7,21,8,18,10,16,12,14,14,12,15,12,17,11,18,11,18,12,17,12,16,12,16,12,14,11,13,10,12,9,12,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,2,-17,11,-19,10,-21,8,-22,6,-22,4,-21,2,-19,0,-16,0,-13,2,-10,4,-7,8,-6,13,-7,18,-8,22,-11,25,-14,28,-17,29,-19,29,-21,28,-21,26,-20,24,-19,22,-16,20,-11,19,-6,19,-3,19]"
CSI_DATA,393118,24:0b:2a:96:72:01,-51,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-147066663,0,83,0,128,1,"[83,-80,4,0,-16,21,-17,23,-18,24,-20,24,-20,23,-20,22,-19,20,-17,18,-15,17,-13,16,-10,15,-7,15,-5,16,-3,17,-2,18,-2,19,-2,19,-2,19,-2,19,-3,18,-3,17,-3,16,-3,14,-2,14,-2,13,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-18,-4,-19,-6,-19,-8,-18,-11,-17,-12,-15,-12,-13,-11,-11,-9,-10,-7,-10,-3,-11,0,-14,4,-17,6,-21,7,-25,7,-28,7,-31,5,-32,4,-32,2,-30,0,-28,-1,-26,-1,-23,1,-20,3,-17,6,-16,9]"
CSI_DATA,393119,24:0b:2a:96:72:01,-50,11,1,7,0,1,1,0,1,0,0,-96,0,6,0,-147056742,0,83,0,128,1,"[83,-80,4,0,26,-6,28,-7,30,-7,31,-6,30,-4,29,-3,27,-3,25,-3,22,-3,19,-4,17,-6,16,-8,15,-10,14,-12,14,-13,14,-14,14,-14,14,-14,14,-13,14,-13,13,-12,13,-11,11,-10,11,-10,10,-10,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,14,9,16,7,18,5,19,3,19,2,18,1,16,1,13,2,10,5,8,8,6,12,5,16,6,20,8,23,10,25,13,25,16,25,18,24,20,22,20,20,19,18,17,17,14,16,10,16,6,18,3]"
